factor,level,rep,shannon,renyi2,simpson,hhi,participation,apg_entropy_norm,apg_cmax,apg_c2,apg_neff,apg_pr,apg_d_2_25,apg_d_2_5,apg_d_3_0,apg_d_4_0,apg_d_5_0,apg_d_6_0,apg_integrated_2_6
multimodality,0.75,70,4.485148796315494,4.234038692961482,0.9855062635661599,0.014493736433840143,68.99532115577315,0.7868691221689357,0.1272990489934021,0.037780331159300046,45.50912223338372,26.46879922210102,0.3729972409639728,0.5991548837541514,0.8275600549940654,0.9622196688407,0.9901748226260094,0.9971253502672114,3.389559599494664
multimodality,0.75,71,4.530841838032061,4.3432388225297816,0.9870056264951748,0.012994373504825232,76.95638420956506,0.8339140783271244,0.0762652727459506,0.024546378848784727,57.17840805420695,40.739206632489065,0.3927355697133529,0.6265291280518733,0.8541814962255672,0.9754536211512153,0.99541753509413,0.9990670607736006,3.4441731242491116
multimodality,0.75,72,4.577482790041793,4.41029218817159,0.9878483727506006,0.012151627249399485,82.2935051804964,0.8516520731574466,0.08090122270900826,0.023785509375806382,62.31745937303555,42.04240423024776,0.39910647722398274,0.6339759529177055,0.8590504313479314,0.9762144906241936,0.9953723649810223,0.9989952135939872,3.4528898875632934
multimodality,0.75,73,4.479800361111044,4.277172852118759,0.9861181472879894,0.013881852712010553,72.03649402898,0.8155518156150197,0.06588831431863118,0.02769227413242609,52.304483352745336,36.11115487366408,0.38554680695186405,0.6171634383463808,0.8460764294454752,0.9723077258675739,0.9944995906303342,0.9988345162522468,3.4286048878259967
multimodality,0.75,74,4.484963772253533,4.255037412370259,0.9858074402416566,0.014192559758343395,70.45945319427375,0.8018771407609747,0.07277026255937942,0.030511705777675785,48.94670998238387,32.77430659847476,0.3798686384091514,0.6094752197614224,0.8391324971913214,0.9694882942223242,0.9936176781829024,0.9985809549907915,3.415266189806935
multimodality,0.75,75,4.492018381457525,4.2784806622896285,0.9861362902497958,0.013863709750204182,72.1307657198464,0.8127388648874015,0.060304019291267455,0.027615382808306613,51.59545406532639,36.21170153394373,0.3844301075916865,0.6157920911052115,0.8452234646038345,0.9723846171916933,0.9946631099997695,0.9989161926485068,3.4274529830309683
multimodality,0.75,76,4.499046649428374,4.289980374838814,0.9862948057386288,0.013705194261371173,72.96503653497862,0.8150349161181741,0.08480741949495521,0.028655907596126004,52.17346744414418,34.896818278936315,0.3850444483121913,0.6161520708099486,0.8446461452047596,0.971344092403874,0.9940672494858488,0.9986652559048774,3.42554671737751
multimodality,0.75,77,4.496341664061143,4.257297541900618,0.9858394810432577,0.014160518956742299,70.61888078076375,0.7955923481507509,0.11245561868266098,0.035534436430242435,47.47665663446492,28.1417154866969,0.3765474154738908,0.6039416294300004,0.8320273133922931,0.9644655635697575,0.9911826538795651,0.9975700733243819,3.399068704060456
multimodality,0.75,78,4.456092725072308,4.186086074195095,0.9847943175286696,0.01520568247133033,65.76488769151874,0.7716259293845262,0.1054574868157171,0.03873431713621103,42.26470589655215,25.816900204628713,0.36707886819244406,0.5916840021447912,0.8219282727825303,0.961265682863789,0.9905298669916139,0.9975023693755689,3.380644156982493
multimodality,0.75,79,4.444833064950908,4.177789317820331,0.9846676348848715,0.015332365115128458,65.22150969475896,0.7698503538144301,0.11945032357899449,0.040460968006021766,41.90215323216571,24.71517734946853,0.36618156523344425,0.5901592309266968,0.8197985380439978,0.9595390319939783,0.9896149370678563,0.997092639680117,3.375404295340764
